Year,Regions,Value
2011,,0.4861384507214093
2012,,0.4432929890724379
2012,Akmola,0.83
2012,Aktobe,2.63
2012,Almaty,0.17
2012,Atyrau,1.92
2012,Batys Kazakhstan,3.28
2012,Zhambyl,1.0
2012,Karagandy,4.54
2012,Kostanay,0.04
2012,Kyzylorda,6.55
2012,Mangistau,2.65
2012,Turkistan,0.12
2012,Pavlodar,7.39
2012,Soltustik Kazakhstan,0.29
2012,Shygys Kazakhstan,0.96
2012,Nur-Sultan city,0.06
2012,Almaty city,0.23
2013,,0.4610388251259936
2013,Akmola,0.51
2013,Aktobe,2.31
2013,Almaty,0.2
2013,Atyrau,1.92
2013,Batys Kazakhstan,3.31
2013,Zhambyl,0.31
2013,Karagandy,3.77
2013,Kostanay,0.03
2013,Kyzylorda,5.69
2013,Mangistau,2.79
2013,Turkistan,0.11
2013,Pavlodar,6.58
2013,Soltustik Kazakhstan,0.37
2013,Shygys Kazakhstan,0.88
2013,Nur-Sultan city,0.04
2013,Almaty city,0.14
2014,,0.4162673684542015
2014,Akmola,0.67
2014,Aktobe,3.55
2014,Almaty,0.21
2014,Atyrau,1.53
2014,Batys Kazakhstan,5.15
2014,Zhambyl,1.0
2014,Karagandy,3.54
2014,Kostanay,0.01
2014,Kyzylorda,5.08
2014,Mangistau,4.07
2014,Turkistan,0.47
2014,Pavlodar,6.49
2014,Soltustik Kazakhstan,0.54
2014,Shygys Kazakhstan,0.82
2014,Nur-Sultan city,0.2
2014,Almaty city,0.12
2015,,0.4189583579222953
2015,Akmola,0.62
2015,Aktobe,3.36
2015,Almaty,0.2
2015,Atyrau,1.43
2015,Batys Kazakhstan,4.72
2015,Zhambyl,0.24
2015,Karagandy,3.06
2015,Kostanay,0.01
2015,Kyzylorda,5.0
2015,Mangistau,3.96
2015,Turkistan,0.49
2015,Pavlodar,5.94
2015,Soltustik Kazakhstan,0.5
2015,Shygys Kazakhstan,0.68
2015,Nur-Sultan city,0.19
2015,Almaty city,0.13
2016,,0.4202246928698693
2016,Akmola,0.39
2016,Aktobe,3.43
2016,Almaty,0.13
2016,Atyrau,1.42
2016,Batys Kazakhstan,5.46
2016,Zhambyl,0.37
2016,Karagandy,2.7
2016,Kostanay,0.05
2016,Kyzylorda,5.4
2016,Mangistau,4.14
2016,Turkistan,0.71
2016,Pavlodar,6.22
2016,Soltustik Kazakhstan,0.42
2016,Shygys Kazakhstan,0.8
2016,Nur-Sultan city,0.1
2016,Almaty city,0.12
2017,,0.4202246928698693
2017,Akmola,0.45
2017,Aktobe,3.41
2017,Almaty,0.14
2017,Atyrau,1.46
2017,Batys Kazakhstan,5.68
2017,Zhambyl,0.24
2017,Karagandy,2.69
2017,Kostanay,0.02
2017,Kyzylorda,5.96
2017,Mangistau,4.15
2017,Turkistan,0.7
2017,Pavlodar,6.31
2017,Soltustik Kazakhstan,0.22
2017,Shygys Kazakhstan,0.84
2017,Nur-Sultan city,0.09
2017,Almaty city,0.11
2018,,0.42
2018,Akmola,0.43
2018,Aktobe,3.69
2018,Almaty,0.15
2018,Atyrau,1.4
2018,Batys Kazakhstan,5.54
2018,Zhambyl,0.22
2018,Karagandy,2.84
2018,Kostanay,0.01
2018,Kyzylorda,5.96
2018,Mangistau,4.61
2018,Turkistan,0.68
2018,Pavlodar,6.1
2018,Soltustik Kazakhstan,0.3
2018,Shygys Kazakhstan,0.83
2018,Nur-Sultan city,0.1
2018,Almaty city,0.12
